The 1975, The Sound

2 Chainz, Back On The Bullshyt

2 Chainz, Bounce

2 Chainz, Dedication

2 Chainz, Gotta Lotta

2 Chainz, MF'N Right

2 Chainz, Smell Like Money

2 Chainz, Watch Out

2 Milly, Milly Rock

2 Milly, Milly Rock (Remix)

50 cent, I'm The Man

A$AP Ferg, Let It Bang

A$AP Ferg, New Level

A$AP Rocky, Phantogram (freestyle)

Adele, Hello

Adele, When We Were Young

Alan Walker, Faded

Alessia Cara, Here

Alessia Cara, Wild Things

Allan Rayman, Lucy The Tease

AlunaGeorge, I'm in Control

Anderson Paak, Am I Wrong

Anderson Paak, Come Down

Andra Day, Rise Up

Ariana Grande, Be Alright

Ariana Grande, Dangerous Woman

Ariana Grande, Focus

August Alsina, Been Around The World

AWOLNATION, Hollow Moon (Bad Wolf)

AWOLNATION, Sail

AWOLNATION, Woman Woman

BADBADNOTGOOD, Can't Leave the Night

Bankroll Mafia, Out My Face

BANNERS, Start A Riot

Bas, Housewives

Bebe Rexha, Nicki Minaj, No Broken Hearts

Belly, Might Not

Beyoncé, Drunk In Love

Beyoncé, Run the World (Girls)

Big Grams, Born To Shine

Big Sean, Play No Games

BJ The Chicago Kid, The New Cupid

Blake Shelton, All About Tonight

Blake Shelton, Doin' What She Likes

Blake Shelton, Gonna

Blake Shelton, Mine Would Be You

Blake Shelton, My Eyes

Blake Shelton, Neon Light

Blake Shelton, Over

Blake Shelton, Sangria

Blake Shelton, Sure Be Cool If You Did

Blake Shelton, The Baby 

Bleachers, I Wanna Get Better (Cover)

Boosie Badazz, Cancer

BØRNS, Electric Love

Bryson Tiller, Don't

Bryson Tiller, Exchange

Bryson Tiller, Sorry Not Sorry

Cage The Elephant, Mess Around

Calvin Harris, How Deep Is Your Love

Car Seat Headrest, Something Soon

Carly Rae Jepson, Run Away With Me

The Chainsmokers, Don't Let Me Down

