Tracy's Theme	Spencer Ross
O Dio Mio	Annette Funicello
I'm Gonna Knock on Your Door	Eddie Hodges
Theme from Dr. Kildare (Three Stars Will Shine Tonight)	Richard Chamberlain
Hot Pastrami	The Dartells
The Boy from New York City	The Ad Libs
No Matter What Shape (Your Stomach's In)	The T-Bones
Somewhere My Love	Ray Conniff Singers
Love Theme from Romeo and Juliet	Henry Mancini
Candida	Dawn
Starting All Over Again	Mel and Tim
Put Your Hands Together	The O'Jays
For the Love of Money	The O'Jays
I Love Music	The O'Jays
Wham Bam	Silver
Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)	Chic
Theme from The Greatest American Hero (Believe It or Not)	Joey Scarbury
I Know There's Something Going On	Frida
Back on the Chain Gang	The Pretenders
Puttin' on the Ritz	Taco
Miami Vice Theme	Jan Hammer
Hands to Heaven	Breathe
No More Lies	Michel'le
Macarena (Bayside Boys Mix)	Los del Río
You Learn" / "You Oughta Know	Alanis Morissette
Something About the Way You Look Tonight" / "Candle in the Wind 1997	Elton John
Don't Phunk with My Heart	The Black Eyed Peas
My Humps	The Black Eyed Peas
My Humps	The Black Eyed Peas
Boom Boom Pow	The Black Eyed Peas
Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick
Try	Pink
